"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Jabari Parker","10.03","PF","BOS","CHI","10.7","3,000","3.34","-4.97"
"Tyrese Maxey","9.87","PG/SG","PHI","NO","11.3","3,200","3.09","-6.13"
"Jeremiah Martin","9.39","PG","CLE","DAL","7.5","3,000","3.13","-5.61"
"Josh Green","9.35","SF","DAL","CLE","15.2","3,000","3.12","-5.65"
"Gorgui Dieng","9.26","C","SAS","SAC","8.3","3,000","3.09","-5.74"
"Sindarius Thornwell","9.15","SG","ORL","CHA","16.0","3,500","2.61","-8.35"
"James Nunnally","8.91","SG","NO","PHI","13.1","3,000","2.97","-6.09"
"Grant Williams","8.81","SF/PF","BOS","CHI","13.9","3,000","2.94","-6.19"
"Miye Oni","8.51","SF","UTA","DEN","14.1","3,000","2.84","-6.49"
"Wes Iwundu","8.45","SF/PF","NO","PHI","14.2","3,200","2.64","-7.55"
"Danuel House Jr.","8.24","SF/PF","HOU","MIL","8.9","4,100","2.01","-12.26"
"Kyle Guy","8.13","PG/SG","SAC","SAS","9.6","3,000","2.71","-6.87"
"Brodric Thomas","7.87","SG","CLE","DAL","10.7","3,000","2.62","-7.13"
"Nicolo Melli","7.73","PF","DAL","CLE","10.1","3,000","2.58","-7.27"
"Jeff Teague","7.72","PG","MIL","HOU","9.4","3,100","2.49","-7.78"
"Alfonzo McKinnie","6.97","PF","LAL","POR","9.3","3,000","2.32","-8.03"
"Jake Layman","6.84","SF","MIN","MIA","10.4","3,000","2.28","-8.16"
"P.J. Tucker","6.69","SF/PF","MIL","HOU","12.2","3,000","2.23","-8.31"
"Marc Gasol","6.10","C","LAL","POR","6.7","3,400","1.79","-10.90"
"Jahmi'us Ramsey","5.69","PG/SG","SAC","SAS","5.9","3,000","1.90","-9.31"
"Justin James","5.54","SF","SAC","SAS","8.0","3,000","1.85","-9.46"
"Jordan McLaughlin","5.17","PG","MIN","MIA","6.6","3,000","1.72","-9.83"
"Thanasis Antetokounmpo","4.79","PF","MIL","HOU","5.7","3,000","1.60","-10.21"
"Frank Ntilikina","4.44","PG/SG","NYK","PHX","7.5","3,000","1.48","-10.56"
"Ersan Ilyasova","4.27","PF/C","UTA","DEN","6.8","3,200","1.33","-11.73"
"Romeo Langford","4.23","SG/SF","BOS","CHI","9.0","3,000","1.41","-10.77"
"Denzel Valentine","4.14","SG/SF","CHI","BOS","4.8","3,700","1.12","-14.36"
"Jordan Nwora","3.96","PF","MIL","HOU","3.6","3,000","1.32","-11.04"
"Anderson Varejao","3.51","C","CLE","DAL","2.1","3,000","1.17","-11.49"
"Sam Merrill","3.19","PG/SG","MIL","HOU","3.6","3,000","1.06","-11.81"
"Matt Thomas","3.09","SG","UTA","DEN","3.7","3,000","1.03","-11.91"
"Semi Ojeleye","3.04","PF","BOS","CHI","4.9","3,000","1.01","-11.96"
"Rodions Kurucs","2.95","SF/PF","MIL","HOU","3.6","3,000","0.98","-12.05"
"Boban Marjanovic","2.81","C","DAL","CLE","2.1","3,100","0.91","-12.69"
"Norvel Pelle","2.79","C","NYK","PHX","3.9","3,000","0.93","-12.21"
"Rondae Hollis-Jefferson","2.65","PF/C","POR","LAL","3.4","3,000","0.88","-12.35"
"Nassir Little","2.54","SF/PF","POR","LAL","3.8","3,000","0.85","-12.46"
"Paul Reed","2.45","PF","PHI","NO","2.3","3,000","0.82","-12.55"
"Derrick Jones Jr.","2.40","SF","POR","LAL","3.7","3,000","0.80","-12.60"
"Keita Bates-Diop","2.39","SF/PF","SAS","SAC","3.1","3,000","0.80","-12.61"
"Luka Samanic","2.33","PF","SAS","SAC","2.9","3,100","0.75","-13.17"
"Grant Riller","2.23","PG","CHA","ORL","1.7","3,000","0.74","-12.77"
"Mike Scott","2.14","PF/C","PHI","NO","3.7","3,000","0.71","-12.86"
"Javonte Green","1.81","SG","CHI","BOS","2.9","3,000","0.60","-13.19"
"Luke Kornet","1.68","C","BOS","CHI","2.0","3,000","0.56","-13.32"
"Devontae Cacok","1.68","PF/C","LAL","POR","1.8","3,700","0.45","-16.82"
"Precious Achiuwa","1.66","C","MIA","MIN","1.8","3,000","0.55","-13.34"
"Isaiah Joe","1.58","SG","PHI","NO","2.3","3,000","0.53","-13.42"
"Vernon Carey Jr.","1.52","C","CHA","ORL","1.7","3,000","0.51","-13.48"
"Jaylen Nowell","1.46","PG/SG","MIN","MIA","1.8","4,200","0.35","-19.54"
"Jarrell Brantley","1.40","SF","UTA","DEN","1.4","3,000","0.47","-13.60"
"Max Strus","1.36","SG/SF","MIA","MIN","1.8","3,000","0.45","-13.64"
"Tremont Waters","1.34","PG","BOS","CHI","1.4","3,000","0.45","-13.66"
"Harry Giles III","1.33","C","POR","LAL","1.4","3,000","0.44","-13.67"
"Gabe Vincent","1.31","SG","MIA","MIN","1.8","3,000","0.44","-13.69"
"Hassan Whiteside","1.24","C","SAC","SAS","1.0","5,500","0.23","-26.26"
"Tre Jones","1.19","PG","SAS","SAC","1.6","3,200","0.37","-14.81"
"Bol Bol","1.18","SF/PF","DEN","UTA","1.4","3,000","0.39","-13.82"
"Langston Galloway","1.15","PG/SG","PHX","NYK","1.6","3,000","0.38","-13.85"
"E'Twaun Moore","1.13","SG/SF","PHX","NYK","1.6","3,000","0.38","-13.87"
"Jalen Smith","1.12","C","PHX","NYK","1.6","3,000","0.37","-13.88"
"Ryan Arcidiacono","1.06","PG","CHI","BOS","1.5","3,000","0.35","-13.94"
"Ed Davis","1.05","C","MIN","MIA","1.3","3,000","0.35","-13.95"
"Kevin Knox II","1.02","SF/PF","NYK","PHX","1.6","3,000","0.34","-13.98"
"CJ Elleby","1.00","SG/SF","POR","LAL","1.5","3,000","0.33","-14.00"
"KZ Okpala","0.99","SF/PF","MIA","MIN","1.8","3,000","0.33","-14.01"
"Vlatko Cancar","0.93","SF","DEN","UTA","1.4","3,000","0.31","-14.07"
"Al-Farouq Aminu","0.91","SF/PF","CHI","BOS","1.2","3,100","0.29","-14.59"
"Markus Howard","0.89","PG","DEN","UTA","1.4","3,000","0.30","-14.11"
"Zeke Nnaji","0.86","PF/C","DEN","UTA","1.4","3,000","0.29","-14.14"
"Nick Richards","0.85","C","CHA","ORL","1.7","3,100","0.28","-14.65"
"Quinndary Weatherspoon","0.82","SG","SAS","SAC","1.4","3,000","0.27","-14.18"
"Theo Pinson","0.73","SG/SF","NYK","PHX","1.6","3,000","0.24","-14.27"
"Nemanja Bjelica","0.72","PF/C","MIA","MIN","0.8","3,000","0.24","-14.28"
"Keljin Blevins","0.46","SG","POR","LAL","1.3","3,000","0.15","-14.54"
"Anthony Tolliver","0.43","PF/C","PHI","NO","1.0","3,000","0.14","-14.57"
"Jaylen Brown","0.00","SG/SF","BOS","CHI","0.0","9,100","0.00","-45.50"
"Robert Williams","0.00","C","BOS","CHI","0.0","5,900","0.00","-29.50"
"Devonte' Graham","0.00","PG/SG","CHA","ORL","0.0","6,000","0.00","-30.00"
"Miles Bridges","0.00","SF/PF","CHA","ORL","0.0","7,400","0.00","-37.00"
"Cody Martin","0.00","SF","CHA","ORL","0.0","4,300","0.00","-21.50"
"Troy Brown Jr.","0.00","SF","CHI","BOS","0.0","3,000","0.00","-15.00"
"Devon Dotson","0.00","PG","CHI","BOS","0.0","3,000","0.00","-15.00"
"Darius Garland","0.00","PG","CLE","DAL","0.0","8,400","0.00","-42.00"
"Kevin Love","0.00","PF/C","CLE","DAL","0.0","6,500","0.00","-32.50"
"Larry Nance Jr.","0.00","SF","CLE","DAL","0.0","5,600","0.00","-28.00"
