Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,vGrade,pGrade,Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Actual Ownership,Score,Val
Russell Westbrook,,,PG,WAS,vs IND,30th,125.00,11000,37.4,84.5,56.9,11.0,1.59,57.12,10.46,13.44,10.97,30.8,19.0,35.8,37.75,0%,B,A,58.98,58.98,100,,76,5.4,Y,39,,81.75,7.4
Nikola Jokic,,,C,DEN,@ LAL,24th,108.75,10900,34.4,76.7,58.0,8.5,1.66,59.58,10.94,12.07,10.48,28.6,18.0,35.0,34.50,0%,C,A,52.77,52.77,100,,79,4.8,Y,36,,56.25,5.2
Stephen Curry,,,PG,GSW,@ NOP,10th,117.25,10800,37.5,78.3,50.6,5.8,1.49,53.55,10.86,11.67,10.94,33.8,21.0,34.0,36.25,0%,B,A,53.36,53.36,100,,77,4.9,Y,35,,62.00,5.7
Joel Embiid,,,C,PHI,@ CHI,3rd,108.75,10600,27.8,77.8,51.9,3.0,1.64,58.92,12.55,14.29,10.63,35.5,18.2,31.7,30.50,0%,D,A,47.58,47.58,100,,72,4.5,Y,33,,35.50,3.3
Julius Randle,,,PF/C,NYK,@ MEM,4th,108.50,10300,30.6,67,48.9,5.9,1.31,47.18,8.52,10.42,8.88,29.0,18.4,37.3,37.50,0%,C,A,48.29,48.29,100,,79,4.7,Y,38,,48.50,4.7
LeBron James,,,PG/SF,LAL,vs DEN,13th,104.75,10200,0,23.1,50.1,7.8,1.49,53.73,8.84,11.56,0,31.5,18.1,33.6,0.00,0%,,,0,0,100,,77,0,,,,,
Zion Williamson,,,PF/C,NOP,vs GSW,26th,119.25,10000,34.1,67.8,43.6,3.7,1.32,47.42,8.71,9.65,8.47,29.8,16.9,33.1,35.00,0%,C,A,44.7,44.7,100,,78,4.5,Y,37,,45.50,4.6
Nikola Vucevic,,,C,CHI,vs PHI,13th,101.75,9900,0,22.7,48.5,3.7,1.44,51.97,9.67,11.33,0,29.6,19.9,33.6,0.00,0%,C,A,0,0,100,,77,0,,,,,
Domantas Sabonis,,,PF/C,IND,@ WAS,9th,121.00,9800,29.2,69.9,47.5,6.2,1.33,48.02,11.03,11.63,10.49,24.4,14.4,35.6,34.25,0%,B,A,50.93,50.93,100,,76,5.2,Y,43,,74.25,7.6
Anthony Davis,,,PF/C,LAL,vs DEN,13th,104.75,9700,30.7,70.7,42.0,3.1,1.31,47.19,10.46,11.43,9.59,28.6,16.6,32.0,33.00,0%,D,A,41.98,41.98,100,,73,4.3,Y,33,,39.75,4.1
Donovan Mitchell,,,PG/SG,UTA,vs SAS,10th,113.75,9600,0,20.2,42.7,5.2,1.28,46.02,11.02,10.10,0,33.3,20.6,33.4,0.00,0%,,,0,0,100,,76,0,,,,,
Bradley Beal,,,SG/SF,WAS,vs IND,30th,125.00,9500,34.3,73,46.2,4.5,1.31,47.01,9.74,11.05,9.74,34.3,22.8,35.4,36.00,0%,C,A,45.94,45.94,100,,76,4.8,Y,37,,45.25,4.8
Trae Young,,,PG,ATL,vs POR,28th,119.50,9400,27.7,67.8,46.3,9.4,1.36,48.86,11.41,11.46,10.06,32.8,17.8,34.1,31.75,0%,C,A,46.64,46.64,100,,75,5,Y,35,,44.00,4.7
Damian Lillard,,,PG,POR,@ ATL,17th,117.50,9200,32.3,75,48.1,7.6,1.34,48.34,11.15,12.21,11.46,31.7,20.1,35.8,37.00,0%,C,A,44.57,44.57,100,,75,4.8,Y,34,,53.00,5.8
Zach LaVine,,,SG,CHI,vs PHI,12th,101.75,9100,0,23,44.2,5.1,1.26,45.14,9.48,11.51,0,31.1,19.4,35.2,0.00,0%,,,0,0,100,,74,0,,,,,
Malcolm Brogdon,,,PG,IND,@ WAS,8th,121.00,9000,0,22.9,39.2,5.9,1.14,40.90,9.36,11.45,0,25.9,17.5,34.5,0.00,0%,D,B,0,0,100,,71,0,,,,,
Rudy Gobert,,,C,UTA,vs SAS,11th,113.75,8800,27,61,39.8,1.3,1.29,46.48,10.43,9.71,9.34,17.0,8.1,30.9,32.25,0%,C,B,39.97,39.97,100,,76,4.5,Y,30,,54.25,6.2
Clint Capela,,,C,ATL,vs POR,21st,119.50,8700,23.7,66.7,40.9,0.8,1.35,48.76,11.23,12.28,9.51,20.2,11.3,30.2,30.50,0%,D,B,38.41,38.41,100,,70,4.4,Y,35,,33.50,3.9
Caris LeVert,,,SG,IND,@ WAS,8th,121.00,8600,24.7,66.1,35.7,4.7,1.16,41.71,11.49,11.84,10.85,27.2,16.6,30.8,34.00,0%,C,A,41.03,41.03,100,,67,4.8,Y,38,,52.25,6.1
Ja Morant,,,PG,MEM,vs NYK,6th,112.50,8500,18.7,61.3,36.7,7.3,1.14,41.22,10.26,12.17,9.05,27.3,15.2,32.1,31.75,0%,D,B,35.03,35.03,100,,67,4.1,Y,38,,21.75,2.6
Michael Porter Jr.,,,SF/PF,DEN,@ LAL,24th,108.75,8400,24.9,60.5,34.3,1.1,1.09,39.09,9.20,10.19,9.26,21.4,13.3,31.6,36.25,0%,C,B,38.53,38.53,100,,70,4.6,Y,39,,28.50,3.4
DeMar DeRozan,,,SF,SAS,@ UTA,24th,106.75,8300,24.7,63.8,40.0,7.4,1.17,42.06,8.74,11.17,8.56,25.3,15.2,34.3,35.25,0%,C,B,38.42,38.42,100,,72,4.6,Y,33,,40.25,4.8
Brandon Ingram,,,SF,NOP,vs GSW,22nd,119.25,8200,30,61.4,40.1,4.9,1.17,42.03,9.24,8.99,9.05,28.4,18.2,34.4,35.25,0%,C,B,38.55,38.55,100,,78,4.7,Y,35,,27.00,3.3
C.J. McCollum,,,PG/SG,POR,@ ATL,19th,117.50,8100,24.5,62.8,39.5,4.7,1.17,41.93,9.07,10.94,9.13,27.3,18.9,33.9,36.25,0%,C,B,38.44,38.44,100,,72,4.7,Y,32,,39.25,4.8
Jonas Valanciunas,,,C,MEM,vs NYK,7th,112.50,7900,20.1,59.3,38.2,1.8,1.36,49.21,10.78,11.19,8.09,23.0,12.1,28.0,27.00,0%,C,B,36.57,36.57,100,,71,4.6,Y,35,,39.00,4.9
Lonzo Ball,,,PG,NOP,vs GSW,19th,119.25,7800,21.3,64.1,33.8,5.8,1.07,38.69,11.31,12.21,11.15,20.1,12.4,31.5,35.50,0%,D,B,34.26,34.26,100,,64,4.4,Y,38,,30.25,3.9
Ben Simmons,,,PG,PHI,@ CHI,3rd,108.75,7600,22.4,58.4,37.9,6.9,1.16,41.76,8.62,10.29,7.36,20.5,10.2,32.6,30.75,0%,C,B,36.09,36.09,100,,73,4.7,Y,33,,35.00,4.6
Bogdan Bogdanovic,,,PG/SG,ATL,vs POR,25th,119.50,7500,13.2,60.1,28.2,3.3,0.97,34.81,9.91,13.40,9.15,21.2,12.5,29.2,33.25,0%,D,B,32.65,32.65,100,,52,4.4,Y,32,,40.75,5.4
Dejounte Murray,,,PG,SAS,@ UTA,23rd,106.75,7400,22.4,61.5,36.4,5.4,1.13,40.84,11.13,11.17,10.59,22.8,14.5,32.1,34.25,0%,C,B,36.52,36.52,100,,69,4.9,Y,34,,30.00,4.1
Jordan Clarkson,,,PG/SG,UTA,vs SAS,10th,113.75,7300,20.6,48.9,28.5,2.3,1.09,39.22,9.07,8.09,7.94,29.4,15.2,26.1,31.50,0%,B,B,37.28,37.28,100,,72,5.1,,34,,33.50,4.6
Mike Conley,,,PG,UTA,vs SAS,13th,113.75,7200,0,17.5,33.4,6.0,1.12,40.39,9.45,8.75,0,23.3,12.7,29.7,0.00,0%,,,0,0,100,,74,0,,,,,
Andrew Wiggins,,,SG/SF,GSW,@ NOP,10th,117.25,7100,25.3,57.2,31.8,2.4,0.96,34.54,9.27,9.10,9.21,23.2,14.5,33.1,35.75,0%,C,B,35.79,35.79,100,,71,5,Y,38,,37.50,5.3
