Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,vGrade,pGrade,Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Actual Ownership,Score,Val
Luka Doncic,,,PG/SF,DAL,@ MIA,10th,107.25,10800,36.2,83.5,55.5,8.9,1.58,56.85,11.05,13.51,10.97,36.2,20.9,35.1,35.75,0%,C,A,51.79,51.79,100,,76,4.8,Y,30,,50.50,4.7
Giannis Antetokounmpo,,,PF/C,MIL,vs BKN,30th,121.75,10700,43.6,93.6,56.3,5.9,1.71,61.30,17.57,14.30,16.59,33.1,18.1,33.0,34.00,0%,B,A,56.86,56.86,100,,75,5.3,Y,37,,60.00,5.6
Stephen Curry,,,PG,GSW,@ NOP,9th,116.50,10400,37.2,78.1,50.8,5.8,1.49,53.73,10.84,11.67,10.92,33.9,21.1,34.1,36.25,0%,B,A,53.28,53.28,100,,77,5.1,Y,37,,59.25,5.7
James Harden,,,PG/SG,BKN,@ MIL,28th,120.75,10200,0,31.8,56.6,10.9,1.53,55.02,10.66,15.92,0,28.7,17.2,37.0,0.00,0%,,,0,0,100,,72,0,,,,,
Zion Williamson,,,PF/C,NOP,vs GSW,24th,118.50,9900,34,67.5,43.6,3.7,1.31,47.36,8.65,9.58,8.41,29.9,17.0,33.2,35.00,0%,C,A,45.87,45.87,100,,78,4.6,Y,37,,55.00,5.6
De'Aaron Fox,,,PG,SAC,@ OKC,4th,116.00,9800,0,26.2,44.0,7.2,1.25,45.08,9.86,13.10,0,31.0,19.1,35.1,0.00,0%,,,0,0,100,,70,0,,,,,
Paul George,,,SG,LAC,vs TOR,26th,114.25,9700,28.6,67.3,43.3,5.2,1.28,46.25,10.40,11.04,10.26,30.6,17.8,33.7,35.50,0%,D,A,43.59,43.59,100,,75,4.5,Y,35,,41.25,4.3
Kyrie Irving,,,PG,BKN,@ MIL,21st,120.75,9600,34.4,69.3,46.6,6.3,1.32,47.66,10.31,9.98,9.67,30.6,20.3,35.2,33.75,0%,C,A,46.78,46.78,100,,79,4.9,Y,39,,60.75,6.3
Kevin Durant,,,PF,BKN,@ MIL,29th,120.75,9300,31.9,77.8,48.3,5.1,1.47,52.90,13.21,13.10,12.29,32.1,17.7,32.9,33.50,0%,B,A,51.1,51.1,100,,73,5.5,Y,40,,58.75,6.3
Jimmy Butler,,,SF,MIA,vs DAL,17th,108.25,8900,0,21.9,45.8,7.2,1.36,48.85,9.22,10.93,0,26.7,14.4,33.8,0.00,0%,B,A,0,0,100,,76,0,,,,,
Kawhi Leonard,,,SF,LAC,vs TOR,26th,114.25,8800,34.2,64.8,45.9,5.1,1.34,48.22,8.41,8.72,7.53,29.2,18.0,34.3,32.25,0%,C,A,41.32,41.32,100,,81,4.7,Y,33,,23.25,2.6
Kristaps Porzingis,,,PF/C,DAL,@ MIA,8th,107.25,8700,0,22.7,38.8,1.6,1.25,44.91,11.71,11.36,0,26.8,16.0,31.1,0.00,0%,,,0,0,100,,71,0,,,,,
Bam Adebayo,,,C,MIA,vs DAL,22nd,108.25,8600,28.6,59.2,42.3,5.3,1.26,45.52,8.61,8.74,8.01,24.2,12.7,33.5,33.50,0%,B,A,44.25,44.25,100,,79,5.1,Y,30,,42.75,5
