Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,vGrade,pGrade,Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Actual Ownership,Score,Val
Giannis Antetokounmpo,,,PF/C,MIL,vs HOU,19th,125.00,11000,41.1,90.4,56.2,5.9,1.70,61.17,17.28,14.10,15.48,33.2,18.3,33.1,32.25,0%,C,A,54.19,54.19,100,,75,4.9,Y,29,,48.25,4.4
Luka Doncic,,,PG/SF,DAL,vs CLE,3rd,113.50,10900,36.9,83.5,55.4,8.9,1.58,56.85,10.88,13.30,10.73,36.2,20.9,35.1,35.50,0%,C,A,53.88,53.88,100,,76,4.9,Y,23,,36.50,3.3
Nikola Jokic,,,C,DEN,@ UTA,26th,105.50,10800,34,75.7,58.0,8.4,1.66,59.77,11.03,11.91,10.57,28.9,18.1,35.0,34.50,0%,C,A,51.8,51.8,100,,79,4.8,Y,35,,56.75,5.3
Joel Embiid,,,C,PHI,vs NOP,10th,117.25,10700,32,81.6,51.6,2.9,1.63,58.78,12.92,14.18,11.57,35.6,18.0,31.6,32.25,0%,C,A,49.41,49.41,100,,73,4.6,Y,33,,63.25,5.9
Karl-Anthony Towns,,,C,MIN,@ MIA,9th,110.00,10600,36.9,73.2,49.6,4.6,1.46,52.57,9.01,10.38,8.82,29.0,17.5,34.0,35.25,0%,D,A,47.05,47.05,100,,79,4.4,Y,31,,39.50,3.7
Jayson Tatum,,,PF,BOS,@ CHI,3rd,115.00,10500,29.6,70.4,46.0,4.4,1.28,46.28,9.31,11.67,9.31,30.7,20.7,35.8,36.00,0%,C,A,48.77,48.77,100,,75,4.6,Y,38,,23.50,2.2
Nikola Vucevic,,,C,CHI,vs BOS,14th,111.00,10400,30.2,69.9,48.7,3.7,1.45,52.23,9.86,11.34,9.24,29.6,20.0,33.5,33.75,0%,D,A,46.22,46.22,100,,77,4.4,Y,32,,60.00,5.8
LeBron James,,,PG/SF,LAL,@ POR,27th,108.00,10300,0,23.1,50.1,7.8,1.49,53.73,8.84,11.56,0,31.5,18.1,33.6,0.00,0%,,,0,0,100,,77,0,,,,,
De'Aaron Fox,,,PG,SAC,vs SAS,13th,109.75,10200,0,26.2,44.0,7.2,1.25,45.08,9.86,13.10,0,31.0,19.1,35.1,0.00,0%,,,0,0,100,,70,0,,,,,
Julius Randle,,,PF/C,NYK,@ PHX,16th,105.50,10100,30.9,67.7,48.7,5.9,1.31,47.03,8.48,10.50,9.07,29.1,18.4,37.2,38.50,0%,C,A,46.8,46.8,100,,78,4.6,Y,33,,44.25,4.4
