Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,vGrade,pGrade,Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Actual Ownership,Score,Val
Donovan Mitchell,,,PG/SG,UTA,vs DEN,14th,109.50,10000,0,20.2,42.7,5.2,1.28,46.02,11.02,10.10,0,33.3,20.6,33.4,0.00,0%,,,0,0,100,,76,0,,,,,
Zion Williamson,,,PF/C,NOP,@ PHI,9th,106.25,9900,0,19.2,43.8,3.7,1.32,47.47,8.61,9.61,0,29.9,17.0,33.2,0.00,0%,D,A,0,0,100,,78,0,,,,,
Zach LaVine,,,SG,CHI,vs BOS,14th,111.00,9800,21.7,63.3,43.7,5.0,1.25,44.87,9.74,11.88,8.73,30.9,19.3,35.1,32.25,0%,E,B,34.54,34.54,100,,73,3.5,Y,33,,39.75,4.1
Anthony Davis,,,PF/C,LAL,@ POR,29th,108.00,9800,28.4,73.4,40.7,2.9,1.30,46.80,11.29,12.86,10.04,29.5,16.5,31.3,32.00,0%,D,A,43.5,43.5,100,,68,4.4,Y,39,,61.50,6.3
Damian Lillard,,,PG,POR,vs LAL,23rd,115.00,9700,30,72.2,48.3,7.6,1.35,48.69,11.19,12.06,11.11,31.7,20.0,35.7,35.75,0%,C,A,45.27,45.27,100,,75,4.7,Y,39,,58.00,6
Jimmy Butler,,,SF,MIA,vs MIN,3rd,118.00,9500,30.3,68.6,45.8,7.2,1.36,48.85,9.22,10.93,8.77,26.7,14.4,33.8,34.25,0%,C,A,46.85,46.85,100,,76,4.9,Y,36,,52.50,5.5
Bam Adebayo,,,C,MIA,vs MIN,2nd,118.00,9300,30.4,60.7,42.3,5.4,1.27,45.61,8.57,8.66,7.92,24.2,12.7,33.4,33.25,0%,C,A,42.85,42.85,100,,80,4.6,Y,33,,33.00,3.5
Kristaps Porzingis,,,PF/C,DAL,vs CLE,1st,113.50,9200,0,22.7,38.8,1.6,1.25,44.91,11.71,11.36,0,26.8,16.0,31.1,0.00,0%,,,0,0,100,,71,0,,,,,
Jaylen Brown,,,SG/SF,BOS,@ CHI,2nd,115.00,9100,0,19.1,41.1,3.4,1.19,42.85,11.01,9.55,0,29.9,19.1,34.5,0.00,0%,,,0,0,100,,77,0,,,,,
Christian Wood,,,C,HOU,@ MIL,27th,108.00,9000,0,20.3,40.3,1.7,1.25,44.83,9.33,10.16,0,26.0,15.6,32.3,0.00,0%,B,A,0,0,100,,75,0,,,,,
Rudy Gobert,,,C,UTA,vs DEN,12th,109.50,9000,25.9,60.9,39.8,1.2,1.30,46.62,10.63,10.00,9.52,17.3,8.2,30.7,32.25,0%,D,B,36.72,36.72,100,,75,4.1,Y,35,,33.75,3.8
Khris Middleton,,,SG/SF,MIL,vs HOU,22nd,125.00,8900,25.7,61.3,38.7,5.5,1.16,41.67,11.53,10.17,10.41,25.1,15.9,33.4,32.50,0%,D,B,36.24,36.24,100,,74,4.1,Y,32,,31.50,3.5
Collin Sexton,,,PG/SG,CLE,@ DAL,21st,103.50,8700,21.3,55.1,36.6,4.2,1.03,36.99,7.92,9.63,8.03,29.4,18.5,35.6,36.50,0%,D,B,37.79,37.79,100,,74,4.3,Y,36,,37.00,4.3
Jrue Holiday,,,PG/SG,MIL,vs HOU,25th,125.00,8600,23.1,64.1,36.8,5.9,1.15,41.17,11.60,11.71,10.47,22.2,13.8,32.1,32.50,0%,D,B,36.32,36.32,100,,68,4.2,Y,34,,45.50,5.3
Michael Porter Jr.,,,SF/PF,DEN,@ UTA,26th,105.50,8600,23.3,58.4,34.1,1.1,1.08,38.87,9.21,10.05,9.02,21.4,13.3,31.6,35.25,0%,D,B,35.99,35.99,100,,71,4.2,Y,38,,45.50,5.3
Darius Garland,,,PG,CLE,@ DAL,21st,103.50,8400,0,20.1,32.3,6.2,0.96,34.71,8.82,10.07,0,25.2,15.1,33.5,0.00,0%,,,0,0,100,,69,0,,,,,
Devin Booker,,,SG,PHX,vs NYK,4th,111.50,8400,28.5,60.5,39.1,4.4,1.15,41.59,9.41,9.13,9.41,32.9,19.4,33.9,36.00,0%,D,B,37.77,37.77,100,,77,4.5,Y,35,,25.50,3
DeMar DeRozan,,,SF,SAS,@ SAC,5th,113.75,8400,25.5,65.8,39.6,7.3,1.17,41.95,8.79,11.51,8.61,25.2,15.1,33.9,35.25,0%,C,A,40.16,40.16,100,,71,4.8,Y,36,,40.00,4.8
C.J. McCollum,,,PG/SG,POR,vs LAL,28th,115.00,8300,22.8,61.3,39.1,4.8,1.16,41.63,9.17,10.98,9.04,27.2,18.8,33.8,35.50,0%,D,B,37.25,37.25,100,,72,4.5,Y,39,,33.75,4.1
Brandon Ingram,,,SF,NOP,@ PHI,12th,106.25,8200,0,18.2,39.7,4.9,1.16,41.80,9.28,9.09,0,28.2,18.0,34.2,0.00,0%,,,0,0,100,,77,0,,,,,
LaMelo Ball,,,PG,CHA,vs ORL,20th,110.50,8200,19.2,63.2,36.1,6.2,1.26,45.51,11.14,12.57,9.36,25.5,12.8,28.6,30.25,0%,C,B,38.01,38.01,100,,65,4.6,Y,34,,45.50,5.5
Kevin Porter Jr.,,,PG,HOU,@ MIL,30th,108.00,8200,0,30.3,32.3,6.3,1.00,36.10,13.50,15.17,0,25.1,14.1,32.2,0.00,0%,,,0,0,100,,53,0,,,,,
Lonzo Ball,,,PG,NOP,@ PHI,12th,106.25,8100,18.9,61.6,34.1,5.8,1.08,38.76,11.37,12.20,10.98,20.4,12.7,31.7,34.75,0%,C,B,37.61,37.61,100,,64,4.6,Y,34,,34.75,4.3
Terry Rozier,,,PG/SG,CHA,vs ORL,20th,110.50,8000,17.8,57.7,35.7,4.1,1.05,37.85,9.97,11.41,9.62,24.6,16.2,34.0,34.75,0%,C,B,37.83,37.83,100,,68,4.7,Y,39,,44.25,5.5
Kelly Olynyk,,,PF/C,HOU,@ MIL,27th,108.00,8000,21.3,65.1,29.1,2.6,1.02,36.63,10.92,12.53,11.75,18.6,9.8,28.6,38.75,0%,B,A,43.69,43.69,100,,57,5.5,Y,31,,54.50,6.8
Buddy Hield,,,SG/SF,SAC,vs SAS,11th,109.75,8000,22.1,55.4,31.4,3.4,0.91,32.78,8.23,9.51,8.57,20.6,14.1,34.5,37.50,0%,C,B,37.68,37.68,100,,70,4.7,Y,39,,35.75,4.5
Anthony Edwards,,,SG/SF,MIN,@ MIA,8th,110.00,7900,19.3,61.7,32.3,2.8,1.02,36.58,10.74,12.12,10.74,26.9,16.8,31.7,36.00,0%,D,B,31.85,31.85,100,,62,4,Y,41,,37.50,4.7
Tyrese Haliburton,,,PG,SAC,vs SAS,11th,109.75,7900,0,20.1,28.7,5.3,0.95,34.36,8.78,10.04,0,18.1,10.7,30.1,0.00,0%,,,0,0,100,,65,0,,,,,
Harrison Barnes,,,SF/PF,SAC,vs SAS,11th,109.75,7800,0,18.8,31.7,3.5,0.88,31.48,8.93,9.40,0,17.3,11.1,36.2,0.00,0%,E,C,0,0,100,,70,0,,,,,
Dejounte Murray,,,PG,SAS,@ SAC,7th,113.75,7800,23.3,63.1,35.9,5.3,1.13,40.54,11.12,11.36,10.58,22.8,14.4,31.9,34.25,0%,C,B,36.52,36.52,100,,68,4.7,Y,35,,37.75,4.8
Kemba Walker,,,PG,BOS,@ CHI,2nd,115.00,7600,21.3,51.4,34.1,5.0,1.09,39.13,9.66,8.59,8.12,26.2,15.4,31.4,30.25,0%,C,B,37.13,37.13,100,,75,4.9,Y,35,,48.50,6.4
Chris Paul,,,PG,PHX,vs NYK,6th,111.50,7600,21.3,62.7,38.6,8.8,1.23,44.21,11.34,11.82,10.08,22.1,12.5,31.5,32.00,0%,C,B,35.42,35.42,100,,69,4.7,Y,30,,43.50,5.7
Jordan Clarkson,,,PG/SG,UTA,vs DEN,14th,109.50,7500,19.7,48.4,28.8,2.4,1.10,39.51,9.44,8.22,8.19,29.5,15.3,26.2,31.25,0%,C,B,36.63,36.63,100,,71,4.9,,37,,45.75,6.1
Ben Simmons,,,PG,PHI,vs NOP,12th,117.25,7400,25.2,61.8,37.4,6.8,1.15,41.50,8.69,10.45,7.85,20.3,10.1,32.5,32.50,0%,C,B,33.39,33.39,100,,72,4.5,Y,34,,37.25,5
Miles Bridges,,,SF/PF,CHA,vs ORL,20th,110.50,7400,0,22.1,26.4,2.2,0.91,32.70,9.84,11.07,0,16.8,9.1,29.1,0.00,0%,,,0,0,100,,58,0,,,,,
Mike Conley,,,PG,UTA,vs DEN,10th,109.50,7400,0,17.5,33.4,6.0,1.12,40.39,9.45,8.75,0,23.3,12.7,29.7,0.00,0%,,,0,0,100,,74,0,,,,,
D'Angelo Russell,,,PG/SG,MIN,@ MIA,9th,110.00,7300,24,65.1,33.7,5.7,1.20,43.01,10.43,11.73,9.92,29.4,15.6,28.2,34.25,0%,C,B,36.14,36.14,100,,65,5,Y,26,,28.75,3.9
Jarrett Allen,,,C,CLE,@ DAL,21st,103.50,7200,18.8,57.1,32.1,1.7,1.09,39.33,10.96,10.95,9.51,16.6,7.7,29.4,31.25,0%,C,B,34.53,34.53,100,,66,4.8,Y,31,,24.00,3.3
Victor Oladipo,,,PG/SG,MIA,vs MIN,3rd,118.00,7100,0,19.3,36.3,4.6,1.11,40.01,9.96,9.63,0,28.9,17.5,32.7,0.00,0%,,,0,0,100,,73,0,,,,,
Tobias Harris,,,SF/PF,PHI,vs NOP,10th,117.25,7000,22.3,58.6,37.3,3.6,1.14,41.13,10.39,10.36,9.6,23.9,14.8,32.6,33.25,0%,C,B,34.53,34.53,100,,72,4.9,Y,36,,26.75,3.8
PJ Washington,,,PF/C,CHA,vs ORL,22nd,110.50,7000,13.8,55.8,29.2,2.5,0.97,34.91,10.29,11.99,9.58,19.4,10.5,30.1,33.50,0%,C,B,34.75,34.75,100,,59,5,Y,38,,41.75,6
Jusuf Nurkic,,,C,POR,vs LAL,24th,115.00,7000,19.3,58,29.9,3.2,1.28,46.27,12.80,11.04,9.51,21.8,8.5,23.3,26.75,0%,D,B,31.43,31.43,100,,63,4.5,Y,31,,36.75,5.3
Coby White,,,PG,CHI,vs BOS,14th,111.00,6900,11.4,47.1,28.5,4.7,0.92,33.17,8.78,10.18,7.13,22.7,13.0,30.9,29.25,0%,D,C,28.5,28.5,100,,64,4.1,Y,33,,47.75,6.9
Marcus Smart,,,PG/SG,BOS,@ CHI,2nd,115.00,6900,21.6,49.3,30.4,5.8,0.92,33.25,8.53,7.90,8.17,18.3,10.6,32.9,34.50,0%,C,B,32.21,32.21,100,,74,4.7,Y,32,,22.00,3.2
Gordon Hayward,,,PF,CHA,vs ORL,21st,110.50,6900,0,21.5,36.1,4.1,1.06,38.24,10.18,10.76,0,23.8,15.0,34.0,0.00,0%,,,0.00,0.00,100,,70,0,,,,,
RJ Barrett,,,SF,NYK,@ PHX,18th,105.50,6900,19.4,51.6,31.2,3.0,0.90,32.40,7.46,9.21,7.67,23.4,14.6,34.6,37.00,0%,C,B,33.35,33.35,100,,70,4.8,Y,41,,38.50,5.6
Andre Drummond,,,C,LAL,@ POR,22nd,108.00,6900,10.9,67.2,38.2,2.1,1.40,50.36,14.60,16.08,9.73,28.0,13.0,27.3,24.00,0%,C,B,33.88,33.88,100,,58,4.9,Y,22,,16.75,2.4
Derrick White,,,PG/SG,SAS,@ SAC,7th,113.75,6900,0,20,28.4,3.5,0.96,34.57,11.52,10.00,0,22.6,12.6,29.5,0.00,0%,,,0,0,100,,65,0,,,,,
Cole Anthony,,,PG,ORL,@ CHA,19th,103.50,6800,14.8,45.4,25.9,4.3,0.96,34.63,8.95,8.75,7.15,23.3,11.3,27.0,28.75,0%,D,C,29.74,29.74,100,,66,4.4,Y,29,,31.75,4.7
Bojan Bogdanovic,,,SF/PF,UTA,vs DEN,14th,109.50,6800,12.5,49.2,25.6,1.9,0.84,30.15,11.41,10.49,10.46,22.1,12.4,30.6,33.00,0%,D,C,29.13,29.13,100,,59,4.3,Y,39,,66.50,9.8
Delon Wright,,,PG/SG,SAC,vs SAS,13th,109.75,6800,17.9,62.1,25.7,4.3,0.94,33.94,11.81,12.64,12.3,15.6,7.9,27.2,37.50,0%,B,B,36.81,36.81,100,,51,5.4,Y,39,,39.75,5.8
Joe Ingles,,,SG/SF,UTA,vs DEN,13th,109.50,6700,12.6,48.3,26.1,4.6,0.95,34.08,11.72,10.20,10.66,16.5,8.3,27.6,32.75,0%,C,B,32.79,32.79,100,,61,4.9,Y,35,,29.75,4.4
Deandre Ayton,,,C,PHX,vs NYK,7th,111.50,6700,25.1,57.1,33.4,1.5,1.09,39.32,8.77,9.16,8.04,18.5,10.1,30.6,33.00,0%,C,B,31.86,31.86,100,,73,4.8,Y,29,,51.75,7.7
Dennis Schroder,,,PG,LAL,@ POR,28th,108.00,6600,0,18.7,30.7,5.8,0.95,34.29,9.07,9.35,0,22.8,12.5,32.2,0.00,0%,,,0,0,100,,70,0,,,,,
Richaun Holmes,,,C,SAC,vs SAS,10th,109.75,6600,17.1,57.1,31.8,1.6,1.07,38.75,10.47,11.44,9.09,17.8,9.5,29.6,31.25,0%,C,B,32.83,32.83,100,,64,5,Y,33,,34.25,5.2
Kevin Love,,,PF/C,CLE,@ DAL,18th,103.50,6500,0,20.7,26.0,2.5,1.07,38.29,13.06,10.37,0,21.7,9.9,24.4,0.00,0%,C,C,0,0,100,,60,0,,,,,
Nickeil Alexander-Walker,,,PG,NOP,@ PHI,12th,106.25,6400,0,24.4,20.1,2.0,0.97,34.94,13.80,12.22,0,23.6,9.2,20.7,0.00,0%,D,C,0,0,100,,39,0,,,,,
Norman Powell,,,SG/SF,POR,vs LAL,28th,115.00,6400,13.8,53.3,28.6,1.9,0.91,32.66,10.09,11.27,9.11,23.0,13.3,31.6,32.50,0%,D,C,27.39,27.39,100,,61,4.3,Y,38,,27.50,4.3
Thaddeus Young,,,PF/C,CHI,vs BOS,14th,111.00,6300,10.4,39.8,28.9,4.4,1.19,42.96,11.51,8.39,6.71,22.6,9.6,24.2,21.00,0%,E,C,24.73,24.73,100,,71,3.9,,18,,17.25,2.7
Terrence Ross,,,SG/SF,ORL,@ CHA,28th,103.50,6200,0,21,26.6,2.4,0.91,32.74,11.16,10.52,0,23.8,13.4,29.2,0.00,0%,,,0,0,100,,60,0,,,,,
Kendrick Nunn,,,PG,MIA,vs MIN,1st,118.00,6200,10.1,52.8,25.2,2.7,0.85,30.67,11.41,12.20,10.06,21.3,11.7,29.5,31.75,0%,D,C,27.89,27.89,100,,52,4.5,Y,29,,16.50,2.7
Jae'Sean Tate,,,SG/SF,HOU,@ MIL,29th,108.00,6200,0,17.9,24.8,2.3,0.85,30.42,9.68,8.94,0,16.0,8.8,29.3,0.00,0%,B,B,0,0,100,,64,0,,,,,
Mohamed Bamba,,,C,ORL,@ CHA,19th,103.50,6100,18.5,62.5,19.0,0.7,1.28,45.92,21.85,12.58,18.21,22.2,6.3,14.9,30.00,0%,A,B,38.75,38.75,100,,34,6.4,Y,33,,43.00,7
Devonte' Graham,,,PG/SG,CHA,vs ORL,20th,110.50,6000,0,16.7,28.9,5.4,0.96,34.69,8.48,8.33,0,21.6,12.1,30.0,0.00,0%,B,B,0,0,100,,71,0,,,,,
Derrick Rose,,,PG/SG,NYK,@ PHX,15th,105.50,6000,22.3,53.2,26.0,4.1,1.04,37.32,10.35,8.82,9.06,25.8,12.0,25.1,31.50,0%,B,B,30.28,30.28,100,,66,5,,29,,31.00,5.2
Josh Hart,,,SG,NOP,@ PHI,12th,106.25,5900,0,19.8,25.2,2.3,0.88,31.58,10.10,9.90,0,13.4,7.3,28.7,0.00,0%,,,0,0,100,,61,0,,,,,
Robert Williams,,,C,BOS,@ CHI,3rd,115.00,5900,0,22.7,24.4,1.8,1.28,46.02,14.80,11.33,0,14.9,5.0,19.1,0.00,0%,E,E,0,0,100,,54,0,,,,,
Will Barton,,,SG/SF,DEN,@ UTA,25th,105.50,5900,0,19.9,25.2,3.2,0.81,29.26,9.37,9.93,0,18.7,10.9,31.0,0.00,0%,,,0,0,100,,61,0,,,,,
Marvin Bagley III,,,PF,SAC,vs SAS,13th,109.75,5900,19.5,52.2,27.3,1.0,1.05,37.66,9.40,9.35,8.36,23.4,11.6,26.1,32.00,0%,A,B,34.58,34.58,100,,66,5.9,Y,19,,8.00,1.4
Wendell Carter Jr.,,,C,ORL,@ CHA,19th,103.50,5800,0,18.5,27.1,1.9,1.07,38.33,10.64,9.27,0,19.2,8.5,25.4,0.00,0%,,,0,0,100,,66,0,,,,,
Eric Gordon,,,SG,HOU,@ MIL,30th,108.00,5700,0,17.5,26.8,2.6,0.91,32.95,9.63,8.76,0,25.2,13.6,29.3,0.00,0%,,,0.00,0.00,100,,67,0,,,,,
Cedi Osman,,,SF/PF,CLE,@ DAL,17th,103.50,5700,10.6,48.5,21.0,2.8,0.83,29.96,10.10,10.84,9.68,20.3,9.8,25.3,34.50,0%,C,C,27.98,27.98,100,,48,4.9,Y,36,,39.75,7
Tim Hardaway Jr.,,,SF,DAL,vs CLE,1st,113.50,5700,12,46.9,25.3,1.7,0.89,31.96,10.33,9.98,8.97,23.6,13.1,28.5,31.25,0%,B,B,30.22,30.22,100,,61,5.3,Y,28,,29.00,5.1
Goran Dragic,,,PG,MIA,vs MIN,1st,118.00,5600,14.1,45.3,25.6,4.5,0.96,34.57,10.52,8.92,7.82,24.3,10.8,26.7,26.75,0%,D,C,24.5,24.5,100,,65,4.4,,32,,34.00,6.1
Malik Beasley,,,SG/SF,MIN,@ MIA,8th,110.00,5600,0,20,31.5,2.4,0.96,34.63,10.31,10.02,0,24.3,16.2,32.8,0.00,0%,,,0,0,100,,68,0,,,,,
Bobby Portis,,,PF/C,MIL,vs HOU,21st,125.00,5600,2.5,38.6,24.6,1.1,1.17,42.22,12.93,10.31,5.66,20.5,9.0,21.0,15.75,0%,E,C,22.13,22.13,100,,58,4,,15,,27.00,4.8
Dorian Finney-Smith,,,SF/PF,DAL,vs CLE,1st,113.50,5600,14.6,40.2,22.8,1.7,0.70,25.21,6.99,7.31,6.6,12.4,7.8,32.6,34.00,0%,D,C,24.44,24.44,100,,68,4.4,Y,26,,18.75,3.3
Larry Nance Jr.,,,SF,CLE,@ DAL,17th,103.50,5600,0,22.7,26.8,3.1,0.86,30.89,9.77,11.36,0,14.1,7.8,31.2,0.00,0%,,,0,0,100,,58,0,,,,,
Mikal Bridges,,,SF,PHX,vs NYK,6th,111.50,5600,16.7,49.9,26.5,2.2,0.81,29.04,9.17,9.47,9.3,14.7,9.4,32.8,36.50,0%,C,C,27.71,27.71,100,,64,4.9,Y,36,,26.00,4.6
Kyle Kuzma,,,SF/PF,LAL,@ POR,27th,108.00,5600,13.7,48.2,26.3,1.8,0.92,33.06,10.29,9.86,9.29,20.1,11.2,28.7,32.50,0%,B,C,28.17,28.17,100,,63,5,Y,33,,10.25,1.8
Moritz Wagner,,,PF/C,ORL,@ CHA,19th,103.50,5500,15.7,51.2,13.6,1.1,0.93,33.15,15.34,10.15,13.42,17.0,4.6,14.7,31.50,0%,A,B,30.96,30.96,100,,25,5.6,Y,23,,17.75,3.2
Hassan Whiteside,,,C,SAC,vs SAS,11th,109.75,5500,0,21.7,19.1,0.6,1.25,45.10,17.58,10.87,0,23.1,6.2,15.3,0.00,0%,E,E,1.24,1.24,100,,43,0.2,,,,,
Jakob Poeltl,,,C,SAS,@ SAC,6th,113.75,5500,14.9,50.4,25.5,1.9,0.97,34.96,10.10,10.15,7.43,13.5,6.1,26.3,26.50,0%,C,C,25.08,25.08,100,,60,4.6,Y,35,,40.50,7.4
Evan Fournier,,,SG,BOS,@ CHI,3rd,115.00,5400,13.2,53.8,28.7,3.2,0.97,34.90,11.93,11.62,10.52,23.1,12.6,29.6,31.75,0%,B,C,28.21,28.21,100,,60,5.2,Y,36,,33.50,6.2
Daniel Theis,,,PF/C,CHI,vs BOS,14th,111.00,5300,8.7,45.7,22.0,1.7,0.89,32.23,11.47,10.58,7.97,15.6,7.2,24.6,25.00,0%,D,C,22.48,22.48,100,,52,4.2,Y,29,,21.50,4.1
Tristan Thompson,,,C,BOS,@ CHI,3rd,115.00,5200,16.7,41,21.4,1.3,0.91,32.95,9.35,6.93,6.88,15.1,6.1,23.4,26.50,0%,D,C,23.05,23.05,100,,68,4.4,Y,27,,25.50,4.9
R.J. Hampton,,,PG/SG,ORL,@ CHA,29th,103.50,5200,8.1,48.1,13.8,1.4,0.81,29.32,13.25,11.43,11.32,19.2,5.6,17.0,30.75,0%,B,C,27.19,27.19,100,,17,5.2,,30,,26.75,5.1
Jalen McDaniels,,,SF/PF,CHA,vs ORL,22nd,110.50,5200,12.1,47.9,14.4,1.0,0.80,28.84,13.39,10.25,12.37,19.1,5.6,17.9,33.25,0%,B,C,26.12,26.12,100,,29,5,Y,30,,29.50,5.7
Duncan Robinson,,,SG/SF,MIA,vs MIN,1st,118.00,5100,10.3,36.6,23.0,1.8,0.72,26.05,7.77,7.52,6.26,16.5,10.0,31.8,29.00,0%,D,C,22.65,22.65,100,,67,4.4,Y,18,,13.00,2.5
Facundo Campazzo,,,PG/SG,DEN,@ UTA,26th,105.50,5100,11.6,48.8,16.2,3.4,0.76,27.54,11.94,10.64,11.44,12.9,4.6,21.2,34.50,0%,C,C,25.49,25.49,100,,34,5,Y,33,,30.00,5.9
Nerlens Noel,,,C,NYK,@ PHX,16th,105.50,5100,17.3,48.4,20.4,0.8,0.86,30.86,9.53,8.89,7.68,9.9,3.6,23.8,29.00,0%,D,D,21.84,21.84,100,,56,4.3,Y,22,,11.75,2.3
Robert Covington,,,PF/C,POR,vs LAL,22nd,115.00,5100,15.6,48.2,25.5,1.7,0.80,28.76,8.83,9.29,7.6,11.7,7.4,32.0,31.00,0%,C,C,23.68,23.68,100,,64,4.6,Y,38,,20.50,4
Guillermo Hernangomez,,,C,NOP,@ PHI,13th,106.25,5000,13.2,52.2,18.4,0.9,1.08,39.04,17.60,11.14,13.08,16.1,5.1,17.0,26.75,0%,A,C,29.42,29.42,100,,39,5.9,Y,24,,33.25,6.7
Chuma Okeke,,,PF/C,ORL,@ CHA,17th,103.50,5000,0,19.2,19.4,2.2,0.77,27.80,9.73,9.58,0,13.8,7.2,25.2,0.00,0%,,,0,0,100,,51,0,,,,,
Donte DiVincenzo,,,PG/SG,MIL,vs HOU,22nd,125.00,5000,14.1,46.2,24.8,3.0,0.91,32.76,10.83,9.18,8.27,16.8,9.1,27.3,27.50,0%,C,C,23.97,23.97,100,,63,4.8,Y,34,,37.25,7.5
Aaron Gordon,,,SF/PF,DEN,@ UTA,25th,105.50,5000,8.8,49.2,27.1,3.3,0.97,34.93,10.57,11.55,7.63,20.6,10.0,28.0,26.00,0%,D,D,21.69,21.69,100,,57,4.3,Y,30,,20.50,4.1
Eric Bledsoe,,,PG/SG,NOP,@ PHI,12th,106.25,4900,18.4,50.2,24.0,3.7,0.80,28.97,9.10,9.09,8.34,17.8,10.0,29.9,33.00,0%,A,C,27.65,27.65,100,,62,5.6,Y,40,,33.75,6.9
James Ennis,,,SF/PF,ORL,@ CHA,28th,103.50,4900,0,16.6,17.8,1.5,0.74,26.74,10.36,8.32,0,14.0,5.9,24.0,0.00,0%,,,0,0,100,,53,0,,,,,
Ricky Rubio,,,PG,MIN,@ MIA,9th,110.00,4900,11.2,45.7,24.9,6.5,0.96,34.58,10.65,9.86,7.1,15.9,7.1,25.9,24.00,0%,C,C,22.13,22.13,100,,60,4.5,Y,33,,36.25,7.4
Jalen Brunson,,,PG/SG,DAL,vs CLE,3rd,113.50,4900,9.7,40.9,23.0,3.4,0.92,33.07,9.89,8.91,6.73,20.5,9.2,25.1,24.50,0%,D,D,21.9,21.9,100,,61,4.5,,27,,21.50,4.4
Reggie Bullock,,,SG/SF,NYK,@ PHX,18th,105.50,4900,12.8,38.6,19.8,1.5,0.69,24.62,7.40,7.38,7.09,14.7,8.4,28.9,34.50,0%,C,C,22.23,22.23,100,,63,4.5,Y,38,,20.75,4.2
Keldon Johnson,,,PF,SAS,@ SAC,5th,113.75,4900,11.9,48.6,25.3,1.8,0.87,31.44,9.92,10.51,8.13,18.9,10.3,29.0,29.50,0%,B,C,25.7,25.7,100,,58,5.2,Y,27,,25.25,5.2
Dwayne Bacon,,,SG/SF,ORL,@ CHA,29th,103.50,4800,8.7,37.2,18.0,1.2,0.70,25.11,10.25,8.14,8.4,19.5,10.0,25.8,29.50,0%,C,C,23.67,23.67,100,,55,4.9,Y,34,,37.00,7.7
Brook Lopez,,,C,MIL,vs HOU,25th,125.00,4800,15.8,42.7,23.6,0.8,0.87,31.15,9.05,7.68,6.47,16.7,9.0,27.2,25.75,0%,B,C,24.09,24.09,100,,67,5,Y,24,,38.25,8
PJ Dozier,,,SG,DEN,@ UTA,23rd,105.50,4800,0,15.6,17.2,1.8,0.79,28.41,12.10,7.81,0,17.2,7.1,21.8,0.00,0%,,,0,0,100,,55,0,,,,,
