Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,vGrade,pGrade,Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Actual Ownership,Score,Val
Russell Westbrook,,,PG,WAS,@ MIL,21st,120.00,11000,36.7,84.7,57.3,11.2,1.60,57.46,10.65,13.71,11.17,30.5,18.8,35.9,37.75,0%,B,A,57.88,57.88,100,,76,5.3,Y,40,,81.00,7.4
Giannis Antetokounmpo,,,PF/C,MIL,vs WAS,7th,123.00,10900,44.6,94.2,56.3,5.9,1.70,61.24,17.42,14.18,16.57,33.2,18.4,33.1,34.25,0%,A,A,60.37,60.37,100,,75,5.5,Y,30,,47.25,4.3
Nikola Jokic,,,C,DEN,vs NYK,7th,108.75,10700,35,76.9,58.0,8.5,1.66,59.53,10.86,11.98,10.63,28.8,18.2,35.0,35.25,0%,C,A,51.97,51.97,100,,79,4.9,Y,29,,63.50,5.9
Domantas Sabonis,,,PF/C,IND,vs SAC,6th,122.75,10600,31.9,74.2,48.0,6.2,1.34,48.33,11.08,12.07,11.31,24.4,14.5,35.7,36.75,0%,C,A,51.37,51.37,100,,75,4.8,Y,37,,48.75,4.6
Karl-Anthony Towns,,,C,MIN,vs MEM,4th,117.25,10300,38.4,74.4,50.0,4.6,1.46,52.54,9.11,10.28,8.98,28.9,17.6,34.2,35.50,0%,B,A,51.76,51.76,100,,79,5,Y,24,,36.00,3.5
Joel Embiid,,,C,PHI,@ HOU,24th,117.25,10200,32.3,82.5,51.6,3.0,1.62,58.46,12.75,14.33,11.42,35.3,18.1,31.8,32.25,0%,C,A,49.78,49.78,100,,72,4.9,Y,25,,54.00,5.3
Jayson Tatum,,,PF,BOS,@ ORL,20th,116.50,10100,31.2,72.3,46.0,4.4,1.28,46.10,9.25,11.76,9.57,30.7,20.6,35.9,37.25,0%,C,A,48.15,48.15,100,,74,4.8,Y,31,,50.25,5
Julius Randle,,,PF/C,NYK,@ DEN,12th,105.75,10000,31.9,68.1,48.9,5.9,1.31,47.16,8.46,10.34,9.17,29.1,18.5,37.4,39.00,0%,C,A,46.24,46.24,100,,79,4.6,Y,30,,31.00,3.1
De'Aaron Fox,,,PG,SAC,@ IND,30th,116.75,9800,0,26.2,44.0,7.2,1.25,45.08,9.86,13.10,0,31.0,19.1,35.1,0.00,0%,,,0,0,100,,70,0,,,,,
Donovan Mitchell,,,PG/SG,UTA,vs SAS,11th,113.00,9700,0,20.2,42.7,5.2,1.28,46.02,11.02,10.10,0,33.3,20.6,33.4,0.00,0%,,,0,0,100,,76,0,,,,,
Trae Young,,,PG,ATL,vs PHX,15th,113.25,9600,29.9,69.7,46.3,9.4,1.35,48.80,11.32,11.36,10.69,32.8,17.7,34.2,34.00,0%,C,A,45.21,45.21,100,,75,4.7,Y,26,,39.50,4.1
Bradley Beal,,,SG/SF,WAS,@ MIL,30th,120.00,9500,34.7,73.1,46.2,4.5,1.31,46.96,9.66,10.95,9.79,34.2,22.8,35.4,36.50,0%,C,A,43.86,43.86,100,,76,4.6,Y,39,,54.00,5.7
Damian Lillard,,,PG,POR,@ CLE,3rd,119.50,9400,33.8,76.2,48.2,7.6,1.35,48.47,11.10,12.13,11.56,31.7,20.1,35.8,37.50,0%,C,A,46.95,46.95,100,,75,5,Y,31,,55.25,5.9
Malcolm Brogdon,,,PG,IND,vs SAC,5th,122.75,9000,0,22.9,39.2,5.9,1.14,40.90,9.36,11.45,0,25.9,17.5,34.5,0.00,0%,D,B,0,0,100,,71,0,,,,,
Christian Wood,,,C,HOU,vs PHI,9th,103.25,8900,0,20.3,40.3,1.7,1.25,44.83,9.33,10.16,0,26.0,15.6,32.3,0.00,0%,B,A,0,0,100,,75,0,,,,,
