Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,vGrade,pGrade,Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Actual Ownership,Score,Val
Luka Doncic,,,PG/SF,DAL,vs SAC,8th,116.50,10800,36.2,83.8,55.6,8.9,1.58,57.01,11.09,13.60,10.7,36.2,20.9,35.1,34.75,0%,B,A,56.67,56.67,100,,76,5.2,Y,36,,48.00,4.4
Joel Embiid,,,C,PHI,@ SAS,12th,114.50,10400,29.3,79.9,52.0,3.0,1.64,59.09,12.64,14.45,10.8,35.5,18.1,31.7,30.75,0%,C,A,48.58,48.58,100,,72,4.7,Y,35,,50.50,4.9
Julius Randle,,,PF/C,NYK,@ HOU,20th,114.00,10200,32.4,69.1,48.9,5.9,1.30,46.99,8.39,10.50,8.91,28.9,18.3,37.5,38.25,0%,C,A,49.65,49.65,100,,79,4.9,Y,30,,51.25,5
LeBron James,,,PG/SF,LAL,vs TOR,29th,112.25,10000,32.8,72.9,50.4,7.9,1.50,53.90,8.85,11.46,7.99,31.5,18.3,33.7,32.50,0%,C,A,45.48,45.48,100,,77,4.5,Y,28,,35.25,3.5
Jayson Tatum,,,PF,BOS,vs POR,25th,117.00,9900,30.2,71.7,46.0,4.4,1.28,46.16,9.32,11.86,9.58,30.7,20.7,35.9,37.00,0%,C,A,46.26,46.26,100,,74,4.7,Y,37,,44.00,4.4
De'Aaron Fox,,,PG,SAC,@ DAL,23rd,110.50,9700,0,26.2,44.0,7.2,1.25,45.08,9.86,13.10,0,31.0,19.1,35.1,0.00,0%,,,0,0,100,,70,0,,,,,
Damian Lillard,,,PG,POR,@ BOS,14th,118.00,9400,32.1,75,48.0,7.5,1.34,48.26,11.22,12.25,11.45,31.7,20.2,35.8,36.75,0%,C,A,44.21,44.21,100,,74,4.7,Y,39,,57.50,6.1
Anthony Davis,,,PF/C,LAL,vs TOR,21st,112.25,9100,30.5,71.2,42.0,2.9,1.31,47.27,10.63,11.63,9.45,28.8,16.6,32.0,32.00,0%,D,A,40.85,40.85,100,,72,4.5,Y,33,,41.25,4.5
Jimmy Butler,,,SF,MIA,@ CHA,26th,109.00,9000,27.7,66.4,45.9,7.2,1.35,48.71,9.24,11.04,8.6,26.9,14.5,33.9,33.50,0%,B,A,46.39,46.39,100,,76,5.2,Y,28,,44.00,4.9
Kristaps Porzingis,,,PF/C,DAL,vs SAC,7th,116.50,8700,0,22.7,38.8,1.6,1.25,44.91,11.71,11.36,0,26.8,16.0,31.1,0.00,0%,,,0,0,100,,71,0,,,,,
