Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,vGrade,pGrade,Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Actual Ownership,Score,Val
Russell Westbrook,,,PG,WAS,@ DAL,24th,114.25,11000,34.8,81.6,56.6,11.0,1.58,56.93,10.46,13.36,10.82,30.7,18.8,35.8,37.25,0%,C,A,54.16,54.16,100,,76,4.9,Y,40,,74.00,6.7
Luka Doncic,,,PG/SF,DAL,vs WAS,7th,118.25,10900,37.8,84.4,55.2,8.7,1.58,56.67,10.93,13.30,10.7,36.2,20.9,35.0,35.25,0%,B,A,57.09,57.09,100,,76,5.2,Y,39,,80.50,7.4
Nikola Jokic,,,C,DEN,@ LAC,25th,108.25,10700,34.4,76.9,57.9,8.6,1.65,59.45,10.97,12.15,10.59,28.6,18.0,35.1,34.75,0%,C,A,51.98,51.98,100,,79,4.9,Y,33,,62.50,5.8
Stephen Curry,,,PG,GSW,@ HOU,22nd,120.50,10600,34.4,75.6,50.7,5.8,1.49,53.47,10.94,11.77,10.33,33.6,21.0,34.1,34.00,0%,B,A,55.37,55.37,100,,77,5.2,Y,30,,48.50,4.6
Karl-Anthony Towns,,,C,MIN,vs NOP,11th,117.75,10300,38.3,74.5,49.8,4.6,1.46,52.46,9.21,10.34,9.08,29.0,17.6,34.2,35.50,0%,C,A,51.44,51.44,100,,79,5,Y,37,,57.50,5.6
Nikola Vucevic,,,C,CHI,@ ATL,19th,104.75,10100,0,22.7,48.5,3.7,1.44,51.97,9.67,11.33,0,29.6,19.9,33.6,0.00,0%,C,A,0,0,100,,77,0,,,,,
Paul George,,,SG,LAC,vs DEN,12th,113.25,10000,28.4,67.3,43.4,5.3,1.29,46.55,10.34,11.09,10.2,30.5,17.7,33.6,35.50,0%,D,A,41.96,41.96,100,,74,4.2,Y,38,,35.25,3.5
Zion Williamson,,,PF/C,NOP,@ MIN,2nd,120.75,9900,34.2,67.3,43.3,3.6,1.32,47.32,8.76,9.47,8.33,29.9,16.9,32.9,34.25,0%,C,A,44.64,44.64,100,,78,4.5,Y,42,,60.75,6.1
Bradley Beal,,,SG/SF,WAS,@ DAL,19th,114.25,9800,33.1,72,46.3,4.5,1.31,47.14,9.79,11.13,9.86,34.4,22.9,35.4,36.25,0%,D,A,43.08,43.08,100,,76,4.4,Y,37,,41.50,4.2
Donovan Mitchell,,,PG/SG,UTA,vs TOR,28th,111.50,9600,0,20.2,42.7,5.2,1.28,46.02,11.02,10.10,0,33.3,20.6,33.4,0.00,0%,,,0,0,100,,76,0,,,,,
Jimmy Butler,,,SF,MIA,@ CLE,3rd,110.00,9500,30,68.1,46.2,7.2,1.36,48.93,9.17,10.89,8.85,27.0,14.6,34.0,34.75,0%,C,A,45.18,45.18,100,,76,4.8,Y,29,,29.50,3.1
Domantas Sabonis,,,PF/C,IND,@ OKC,5th,120.50,9400,28.2,66.9,46.9,6.0,1.31,47.32,9.16,11.06,8.46,24.3,14.4,35.7,33.25,0%,E,B,33.54,33.54,100,,76,3.6,Y,29,,75.75,8.1
Trae Young,,,PG,ATL,vs CHI,3rd,112.75,9300,26,66.4,46.3,9.5,1.36,48.81,11.51,11.54,10.07,32.8,17.8,34.1,31.50,0%,C,A,43.89,43.89,100,,75,4.7,Y,36,,51.25,5.5
Kristaps Porzingis,,,PF/C,DAL,vs WAS,9th,118.25,9200,0,22.7,38.8,1.6,1.25,44.91,11.71,11.36,0,26.8,16.0,31.1,0.00,0%,C,A,0,0,100,,71,0,,,,,
Kawhi Leonard,,,SF,LAC,vs DEN,12th,113.25,9100,32.1,62,46.2,5.1,1.34,48.42,8.37,8.56,7.15,29.3,18.2,34.4,30.75,0%,E,B,35.37,35.37,100,,81,3.9,Y,30,,31.75,3.5
Zach LaVine,,,SG,CHI,@ ATL,18th,104.75,9000,0,23,44.2,5.1,1.26,45.14,9.48,11.51,0,31.1,19.4,35.2,0.00,0%,,,0,0,100,,74,0,,,,,
Malcolm Brogdon,,,PG,IND,@ OKC,7th,120.50,8900,0,22.9,39.2,5.9,1.14,40.90,9.36,11.45,0,25.9,17.5,34.5,0.00,0%,D,B,0,0,100,,71,0,,,,,
Bam Adebayo,,,C,MIA,@ CLE,1st,110.00,8800,29.9,61,42.3,5.2,1.26,45.43,8.75,8.88,8.26,24.3,12.7,33.5,34.00,0%,C,B,39.79,39.79,100,,79,4.5,Y,33,,44.00,5
Christian Wood,,,C,HOU,vs GSW,26th,112.50,8700,33.2,68.4,40.8,1.7,1.26,45.43,9.13,10.04,9.64,26.0,15.7,32.4,38.00,0%,B,A,46.87,46.87,100,,75,5.4,Y,29,,24.25,2.8
Clint Capela,,,C,ATL,vs CHI,3rd,112.75,8600,22.4,65.8,41.0,0.8,1.36,48.79,11.33,12.39,9.6,20.2,11.3,30.2,30.50,0%,D,B,37.67,37.67,100,,70,4.4,Y,30,,39.25,4.6
Rudy Gobert,,,C,UTA,vs TOR,27th,111.50,8500,25.2,59.4,39.9,1.3,1.30,46.62,10.46,9.78,9.08,17.0,8.1,30.8,31.25,0%,C,A,40.34,40.34,100,,75,4.7,Y,34,,36.50,4.3
Ja Morant,,,PG,MEM,@ ORL,21st,114.50,8400,19.4,62.4,36.8,7.3,1.15,41.22,10.36,12.28,9.14,27.2,15.1,32.1,31.75,0%,D,B,34.02,34.02,100,,67,4.1,Y,32,,36.25,4.3
Brandon Ingram,,,SF,NOP,@ MIN,2nd,120.75,8300,30,61.2,40.3,4.8,1.17,42.37,9.04,8.92,8.6,28.5,18.2,34.3,34.25,0%,C,B,39.94,39.94,100,,78,4.8,Y,40,,27.75,3.3
Caris LeVert,,,SG,IND,@ OKC,7th,120.50,8300,21.1,62.9,35.6,4.7,1.15,41.36,11.36,11.94,9.94,27.2,16.7,30.9,31.50,0%,B,A,44.82,44.82,100,,66,5.4,Y,27,,42.75,5.2
Pascal Siakam,,,PF,TOR,@ UTA,24th,104.50,8200,21.5,62.8,40.0,4.6,1.12,40.46,10.49,11.78,10.13,26.0,16.5,35.6,34.75,0%,C,B,39.65,39.65,100,,71,4.8,Y,40,,28.25,3.4
Michael Porter Jr.,,,SF/PF,DEN,@ LAC,17th,108.25,8200,24.4,60.2,34.2,1.0,1.09,39.04,9.28,10.23,9.28,21.4,13.2,31.5,36.00,0%,C,B,37.85,37.85,100,,70,4.6,Y,37,,42.25,5.2
Collin Sexton,,,PG/SG,CLE,vs MIA,9th,99.00,8100,18.8,52.1,36.4,4.1,1.03,36.89,7.87,9.50,7.65,29.4,18.5,35.5,35.00,0%,D,B,35.5,35.5,100,,74,4.4,Y,39,,49.00,6
Darius Garland,,,PG,CLE,vs MIA,9th,99.00,8000,0,20.1,32.3,6.2,0.96,34.71,8.82,10.07,0,25.2,15.1,33.5,0.00,0%,,,0,0,100,,69,0,,,,,
Terry Rozier,,,PG/SG,CHA,vs DET,27th,112.25,7900,17.3,57.7,35.8,4.1,1.05,37.84,10.09,11.55,9.6,24.5,16.1,34.1,34.25,0%,C,B,37.57,37.57,100,,68,4.8,Y,38,,49.25,6.2
Fred VanVleet,,,PG/SG,TOR,@ UTA,23rd,104.50,7800,19.5,62.4,39.3,6.2,1.09,39.08,10.67,12.25,10.45,23.7,16.2,36.2,35.25,0%,B,B,39.66,39.66,100,,69,5.1,Y,40,,54.00,6.9
Jonas Valanciunas,,,C,MEM,@ ORL,15th,114.50,7700,21.7,61.2,38.1,1.8,1.37,49.15,10.88,11.27,8.39,23.1,12.1,27.9,27.75,0%,C,B,36.41,36.41,100,,70,4.7,Y,30,,43.50,5.6
Bogdan Bogdanovic,,,PG/SG,ATL,vs CHI,2nd,112.75,7600,9.2,56.5,28.0,3.2,0.97,34.81,10.04,13.53,8.44,21.1,12.4,29.0,30.25,0%,D,B,31.24,31.24,100,,52,4.1,Y,36,,35.00,4.6
Jarrett Allen,,,C,CLE,vs MIA,9th,99.00,7500,17.5,56.7,32.2,1.6,1.10,39.69,11.13,11.20,9.66,16.8,7.7,29.2,31.25,0%,D,B,33.36,33.36,100,,65,4.4,Y,36,,27.00,3.6
Shai Gilgeous-Alexander,,,PG,OKC,vs IND,28th,112.50,7500,0,22,41.0,5.9,1.22,43.83,9.05,10.98,0,28.7,16.1,33.7,0.00,0%,,,0.00,0.00,100,,73,0,,,,,
Jordan Clarkson,,,PG/SG,UTA,vs TOR,28th,111.50,7500,19.3,47.8,28.5,2.3,1.10,39.49,8.99,8.14,7.62,29.4,15.2,26.0,30.50,0%,B,A,40.04,40.04,100,,71,5.3,,33,,24.25,3.2
Kevin Porter Jr.,,,PG,HOU,vs GSW,16th,112.50,7400,10.5,66.6,32.9,6.4,1.02,36.72,14.22,16.02,14.71,24.9,14.0,32.3,37.25,0%,A,A,43.39,43.39,100,,51,5.9,Y,36,,28.25,3.8
John Collins,,,PF/C,ATL,vs CHI,3rd,112.75,7400,17.4,57,32.5,1.3,1.09,39.34,10.55,11.33,8.35,22.2,12.6,29.8,28.50,0%,D,B,33.17,33.17,100,,65,4.5,Y,31,,38.00,5.1
Anthony Edwards,,,SG/SF,MIN,vs NOP,10th,117.75,7400,19,58.6,31.5,2.7,1.00,35.89,10.26,11.32,9.83,26.9,16.6,31.5,34.50,0%,D,B,33.01,33.01,100,,64,4.5,Y,38,,49.25,6.7
Mike Conley,,,PG,UTA,vs TOR,30th,111.50,7400,0,17.5,33.4,6.0,1.12,40.39,9.45,8.75,0,23.3,12.7,29.7,0.00,0%,,,0,0,100,,74,0,,,,,
Miles Bridges,,,SF/PF,CHA,vs DET,27th,112.25,7300,15.1,53.5,26.1,2.2,0.90,32.45,9.84,10.97,9.5,16.6,9.0,28.9,34.75,0%,C,B,34.24,34.24,100,,58,4.7,Y,36,,45.75,6.3
Kelly Olynyk,,,PF/C,HOU,vs GSW,20th,112.50,7300,19.6,60.8,28.2,2.4,1.00,35.89,10.66,11.78,10.73,18.5,9.7,28.3,36.25,0%,C,B,34.29,34.29,100,,58,4.7,Y,27,,28.25,3.9
Kyle Lowry,,,PG,TOR,@ UTA,23rd,104.50,7300,0,19.9,37.4,7.3,1.08,38.75,9.74,9.96,0,21.2,12.8,34.7,0.00,0%,,,0,0,100,,73,0,,,,,
Draymond Green,,,PF/C,GSW,@ HOU,19th,120.50,7200,14.3,57.6,32.2,8.6,1.04,37.41,11.06,12.37,8.91,13.3,5.9,31.0,29.00,0%,B,B,38.23,38.23,100,,62,5.3,Y,29,,36.25,5
Lonzo Ball,,,PG,NOP,@ MIN,2nd,120.75,7200,21.7,61.3,33.1,5.8,1.06,38.11,10.95,11.32,10.42,20.0,12.2,31.3,34.25,0%,C,B,33.81,33.81,100,,66,4.7,Y,40,,67.75,9.4
Andrew Wiggins,,,SG/SF,GSW,@ HOU,15th,120.50,7100,25.3,57.4,31.8,2.4,0.96,34.61,9.32,9.16,9.13,23.2,14.5,33.1,35.25,0%,B,B,36.76,36.76,100,,71,5.2,Y,34,,28.50,4
Joe Ingles,,,SG/SF,UTA,vs TOR,29th,111.50,7100,11.5,47.7,25.8,4.4,0.94,33.82,11.91,10.36,10.42,16.3,8.2,27.4,31.50,0%,C,B,35.35,35.35,100,,60,5,Y,34,,32.25,4.5
Jerami Grant,,,PF,DET,@ CHA,25th,104.25,7000,0,20,36.1,2.8,1.06,38.16,9.05,10.01,0,28.4,17.4,34.1,0.00,0%,,,0,0,100,,72,0,,,,,
Gordon Hayward,,,PF,CHA,vs DET,24th,112.25,7000,0,21.5,36.1,4.1,1.06,38.24,10.18,10.76,0,23.8,15.0,34.0,0.00,0%,,,0,0,100,,70,0,,,,,
OG Anunoby,,,SF/PF,TOR,@ UTA,28th,104.50,7000,15.9,48.4,30.9,2.1,0.93,33.47,8.66,9.29,8.24,19.5,12.0,33.2,34.25,0%,C,B,32.84,32.84,100,,70,4.7,Y,41,,36.25,5.2
LaMelo Ball,,,PG,CHA,vs DET,27th,112.25,6900,10.7,55.9,36.2,6.1,1.27,45.61,11.46,12.91,7.64,25.3,12.8,28.6,24.00,0%,D,B,30.25,30.25,100,,64,4.4,Y,28,,35.75,5.2
Victor Oladipo,,,PG/SG,MIA,@ CLE,3rd,110.00,6900,0,19.3,36.3,4.6,1.11,40.01,9.96,9.63,0,28.9,17.5,32.7,0.00,0%,,,0,0,100,,73,0,,,,,
D'Angelo Russell,,,PG/SG,MIN,vs NOP,10th,117.75,6900,19.3,60.1,33.0,5.3,1.19,42.77,10.68,11.67,8.83,29.6,15.4,27.8,29.75,0%,C,B,33.26,33.26,100,,65,4.8,,33,,40.00,5.8
Chris Boucher,,,PF/C,TOR,@ UTA,24th,104.50,6900,0,27,29.1,1.1,1.21,43.72,12.66,13.51,0,20.5,9.2,24.0,0.00,0%,,,0,0,100,,54,0,,,,,
PJ Washington,,,PF/C,CHA,vs DET,23rd,112.25,6700,12.6,55.1,28.7,2.6,0.96,34.60,10.41,12.15,9.4,19.3,10.3,29.9,32.50,0%,B,B,34.01,34.01,100,,58,5.1,Y,37,,35.00,5.2
Cole Anthony,,,PG,ORL,vs MEM,4th,103.50,6700,19.1,46.2,25.8,4.3,0.96,34.46,8.59,7.76,7.7,23.1,11.3,27.0,32.25,0%,D,C,29.85,29.85,100,,70,4.5,Y,36,,50.50,7.5
Kevin Love,,,PF/C,CLE,vs MIA,8th,99.00,6600,13.4,50.1,24.9,2.4,1.05,37.86,13.36,10.48,10.39,21.7,9.5,23.7,28.00,0%,D,C,29.12,29.12,100,,58,4.4,Y,29,,39.00,5.9
Luguentz Dort,,,PG/SG,OKC,vs IND,28th,112.50,6600,0,23.2,24.3,1.6,0.81,29.16,10.97,11.61,0,21.4,12.0,29.9,0.00,0%,,,0,0,100,,52,0,,,,,
